Product SKU,Database Price,Shopify Price,Price Changed,Difference
0015278,N/A,1.49,ONLY_IN_SHOPIFY,N/A
0015478,N/A,1086.26,ONLY_IN_SHOPIFY,N/A
0015691,N/A,118.93,ONLY_IN_SHOPIFY,N/A
0015696,N/A,116.48,ONLY_IN_SHOPIFY,N/A
0015704,N/A,4.27,ONLY_IN_SHOPIFY,N/A
0015715,N/A,3.68,ONLY_IN_SHOPIFY,N/A
0015716,N/A,4.24,ONLY_IN_SHOPIFY,N/A
0015717,N/A,4.4,ONLY_IN_SHOPIFY,N/A
0015733,N/A,3.68,ONLY_IN_SHOPIFY,N/A
0015820,N/A,2.21,ONLY_IN_SHOPIFY,N/A
0015836,N/A,4.99,ONLY_IN_SHOPIFY,N/A
0016174,N/A,2.78,ONLY_IN_SHOPIFY,N/A
0016357,N/A,9.22,ONLY_IN_SHOPIFY,N/A
0016996,N/A,342,ONLY_IN_SHOPIFY,N/A
0017026,N/A,333.25,ONLY_IN_SHOPIFY,N/A
0017088,N/A,4.31,ONLY_IN_SHOPIFY,N/A
0017177,N/A,0.8,ONLY_IN_SHOPIFY,N/A
0017474,N/A,7.63,ONLY_IN_SHOPIFY,N/A
0017484,N/A,8.9,ONLY_IN_SHOPIFY,N/A
0017489,N/A,11.09,ONLY_IN_SHOPIFY,N/A
0017505,N/A,75.16,ONLY_IN_SHOPIFY,N/A
0017507,N/A,85.33,ONLY_IN_SHOPIFY,N/A
0017508,N/A,40.05,ONLY_IN_SHOPIFY,N/A
0017510,N/A,44.69,ONLY_IN_SHOPIFY,N/A
0017513,N/A,29.44,ONLY_IN_SHOPIFY,N/A
0017514,N/A,13.35,ONLY_IN_SHOPIFY,N/A
0017515,N/A,42.11,ONLY_IN_SHOPIFY,N/A
0017760,N/A,21.86,ONLY_IN_SHOPIFY,N/A
0017766,N/A,451.46,ONLY_IN_SHOPIFY,N/A
0017769,N/A,125.36,ONLY_IN_SHOPIFY,N/A
0017785,N/A,32.44,ONLY_IN_SHOPIFY,N/A
0017786,N/A,401.97,ONLY_IN_SHOPIFY,N/A
0017790,N/A,44.36,ONLY_IN_SHOPIFY,N/A
0018215,N/A,3.72,ONLY_IN_SHOPIFY,N/A
0018219,N/A,17.11,ONLY_IN_SHOPIFY,N/A
0018831,N/A,17.6,ONLY_IN_SHOPIFY,N/A
0018874,N/A,71.84,ONLY_IN_SHOPIFY,N/A
0018924,N/A,104,ONLY_IN_SHOPIFY,N/A
0019006,N/A,437.06,ONLY_IN_SHOPIFY,N/A
0019338,N/A,37,ONLY_IN_SHOPIFY,N/A
0019360,N/A,37,ONLY_IN_SHOPIFY,N/A
0019363,N/A,264,ONLY_IN_SHOPIFY,N/A
0019366,N/A,17,ONLY_IN_SHOPIFY,N/A
0019388,N/A,55,ONLY_IN_SHOPIFY,N/A
0019390,N/A,183,ONLY_IN_SHOPIFY,N/A
0019397,N/A,32,ONLY_IN_SHOPIFY,N/A
0021593,N/A,21.22,ONLY_IN_SHOPIFY,N/A
0023121,N/A,256,ONLY_IN_SHOPIFY,N/A
0024650,N/A,94.71,ONLY_IN_SHOPIFY,N/A
0027757,N/A,20,ONLY_IN_SHOPIFY,N/A
0027815,N/A,5493,ONLY_IN_SHOPIFY,N/A
0027821,N/A,35.44,ONLY_IN_SHOPIFY,N/A
0027890,N/A,1.69,ONLY_IN_SHOPIFY,N/A
0027892,N/A,2.18,ONLY_IN_SHOPIFY,N/A
