CUSTID,SKU,CATEGORY,REF_COST,MAX_SELLPRICE,MAP,FINAL_PRICE
00227 ,0050630,L L ,0.63945,0,0,6394.5
00227 ,0027803,L L ,2.1325149999999997,0,0,21325.15
00227 ,0003110,L L ,0,0,0,0
00227 ,0003111,L L ,1.5133649999999998,0,0,15133.65
00227 ,0003112,L L ,0,0,0,0
00227 ,0003113,L L ,1.15,0,0,11500
00227 ,0003114,L L ,3.985905,0,0,39859.05
00227 ,0003115,L L ,3.8092949999999997,0,0,38092.95
00227 ,0003116,L L ,2.1944299999999997,0,0,21944.3
00227 ,0003117,L L ,0,0,0,0
00227 ,0003119,L L ,0,0,0,0
00227 ,0003120,L L ,0,0,0,0
00227 ,0003121,L L ,8.766555,0,0,87665.55
00227 ,0003122,L L ,4.24473,0,0,42447.3
00227 ,0003123,L L ,6.125525,0,0,61255.25
00227 ,0003124,L L ,4.4254,0,0,44254
00227 ,0003125,L L ,0,0,0,0
00227 ,0003127,L L ,2.9749649999999996,0,0,29749.65
00227 ,0003128,L L ,0,0,0,0
00227 ,0003129,L L ,2.1325149999999997,0,0,21325.15
00227 ,0032500,L L ,1.11853,0,0,11185.3
00227 ,0032501,L L ,4.5421249999999995,0,0,45421.25
00227 ,0033606,L L ,0,0,0,0
00227 ,0051770,L L ,0,0,0,0
00227 ,0003131,SLVS,0,0,0,0
00227 ,0003132,SLVS,0,0,0,0
00227 ,0022556,FLRS,2.1081549999999996,0,0,21081.55
00227 ,0022557,FLRS,0,0,0,0
00227 ,0094672,BATT,870.1,0,0,8700999.91
00227 ,0094673,BATT,238,0,0,2379999.98
00227 ,0097744,BATT,572,0,0,5719999.94
00227 ,0104715,BATT,572,0,0,5719999.94
00227 ,0105032,BATT,533,0,0,5329999.95
00227 ,0032589,L L ,0,0,0,0
00227 ,0032593,PHOT,0,0,0,0
00227 ,0032612,PHOT,0,0,0,0
00227 ,0032592,PHOT,0,0,0,0
00227 ,0032621,PHOT,0,0,0,0
00227 ,0032613,PHOT,0,0,0,0
00227 ,0032622,PHOT,0,0,0,0
00227 ,0032594,PHOT,0,0,0,0
00227 ,0032595,PHOT,0,0,0,0
00227 ,0032624,PHOT,0,0,0,0
00227 ,0032591,L L ,0,0,0,0
00227 ,0032629,L L ,0,0,0,0
00227 ,0032628,L L ,0,0,0,0
00227 ,0032626,PHOT,0,0,0,0
00227 ,0032625,PHOT,0,0,0,0
00227 ,0032611,PHOT,0,0,0,0
00227 ,0032597,PHOT,0,0,0,0
00227 ,0032596,PHOT,0,0,0,0
00227 ,0032627,PHOT,0,0,0,0
00227 ,0032590,L L ,0,0,0,0
00227 ,0032623,PHOT,0,0,0,0
00227 ,0093939,MIN ,0.19285,0,0,1928.5
00227 ,0060965,MIN ,0.201985,0,0,2019.85
00227 ,0034139,L L ,0.14920499999999998,0,0,1492.05
00227 ,0049420,L L ,0.20299999999999999,0,0,2030
00227 ,0034140,L L ,0,0,0,0
00227 ,0086322,L L ,0.23345,0,0,2334.5
00227 ,0093929,MIN ,0.20299999999999999,0,0,2030
00227 ,0093932,MIN ,0.20299999999999999,0,0,2030
00227 ,0052949,MIN ,0.20299999999999999,0,0,2030
00227 ,0093931,MIN ,0.20299999999999999,0,0,2030
00227 ,0093930,MIN ,0.20299999999999999,0,0,2030
00227 ,0053409,STTV,17.589949999999998,0,0,175899.5
00227 ,0053408,STTV,5.431265,0,0,54312.65
00227 ,0047315,XMAS,0,0,0,0
00227 ,0047316,XMAS,5.236384999999999,0,0,52363.85
00227 ,0050162,STFX,17.489465,0,0,174894.65
00227 ,0053186,WIRE,25.190269999999998,0,0,251902.7
00227 ,0053179,L L ,0.201985,0,0,2019.85
00311 ,0002936,LIT ,0,0,0,0
00311 ,0002937,LIT ,0,0,0,0
00311 ,0002938,LIT ,0,0,0,0
00311 ,0002939,LIT ,0,0,0,0
00311 ,0031289,LIT ,0,0,0,0
00311 ,0031842,LIT ,0,0,0,0
00311 ,0032059,LIT ,0,0,0,0
00311 ,0060488,LIT ,0,0,0,0
00311 ,0060901,LIT ,0,0,0,0
00311 ,0066318,LIT ,0,0,0,0
00311 ,0002959,LIT ,0,0,0,0
00311 ,0002970,LIT ,0.10961999999999998,0,0,1096.2
00311 ,0003005,LIT ,0.6364049999999999,0,0,6364.05
00311 ,0003009,LIT ,3.24597,0,0,32459.7
00311 ,0003010,LIT ,0.226345,0,0,2263.45
00311 ,0003013,LIT ,2.8125649999999998,0,0,28125.65
00311 ,0002936,LIT ,0,0,0,0
00311 ,0002937,LIT ,0,0,0,0
00311 ,0032907,LIT ,0,0,0,0
00311 ,0032908,LIT ,0,0,0,0
00311 ,0031289,LIT ,0,0,0,0
00311 ,0031842,LIT ,0,0,0,0
00311 ,0032059,LIT ,0,0,0,0
00311 ,0060488,LIT ,0,0,0,0
00311 ,0060901,LIT ,0,0,0,0
00311 ,0066318,LIT ,0,0,0,0
00311 ,0002959,LIT ,0,0,0,0
00311 ,0002970,LIT ,0.10961999999999998,0,0,1096.2
00311 ,0003005,LIT ,0.6364049999999999,0,0,6364.05
00311 ,0003009,LIT ,3.24597,0,0,32459.7
00311 ,0003010,LIT ,0.226345,0,0,2263.45
00311 ,0003013,LIT ,2.8125649999999998,0,0,28125.65
00311 ,0066967,LIT ,0,0,0,0
00311 ,0003029,NONE,13.554309999999997,0,0,135543.1
00311 ,0003030,FLRS,1.56,0,0,15600
00311 ,0003031,FLRS,7.41,0,0,74100
00311 ,0003032,FLRS,1.015,0,0,10150
00311 ,0046979,L L ,0.49937999999999994,0,0,4993.8
00311 ,0003033,L L ,0,0,0,0
00311 ,0003034,L L ,0,0,0,0
00311 ,0052284,L L ,0.7104999999999999,0,0,7105
00311 ,0003035,L L ,0,0,0,0
00311 ,0003036,L L ,0,0,0,0
00311 ,0003037,L L ,3.184055,0,0,31840.55
00311 ,0003038,L L ,0.7104999999999999,0,0,7105
00311 ,0003039,L L ,0.658735,0,0,6587.35
00311 ,0003040,L L ,1.6097899999999998,0,0,16097.9
00311 ,0003041,L L ,2.56,0,0,25600
00311 ,0003042,L L ,1.35,0,0,13500
00311 ,0003043,L L ,0.4770499999999999,0,0,4770.5
00311 ,0003044,L L ,0,0,0,0
00311 ,0003045,L L ,0,0,0,0
00311 ,0003046,L L ,0,0,0,0
00311 ,0024653,L L ,0.5724599999999999,0,0,5724.6
00311 ,0003047,L L ,0,0,0,0
00311 ,0036509,L L ,3.89151,0,0,38915.1
00311 ,0029717,L L ,0,0,0,0
00311 ,0034615,L L ,1.8665849999999997,0,0,18665.85
00311 ,0003048,L L ,0.8119999999999999,0,0,8120
00311 ,0003049,L L ,2.8531649999999997,0,0,28531.65
00311 ,0003050,L L ,2.225895,0,0,22258.95
00311 ,0003051,L L ,0,0,0,0
00311 ,0028043,L L ,0,0,0,0
00311 ,0052128,L L ,0,0,0,0
00311 ,0067256,L L ,0.532875,0,0,5328.75
00311 ,0003052,L L ,0,0,0,0
00311 ,0003055,L L ,1.5123499999999999,0,0,15123.5
00311 ,0003058,L L ,0.9175599999999999,0,0,9175.6
00311 ,0003059,L L ,0,0,0,0
00311 ,0003060,L L ,0.47907999999999995,0,0,4790.8
00311 ,0003061,L L ,1.93,0,0,19300
00311 ,0035807,L L ,2.5780999999999996,0,0,25781
00311 ,0003063,L L ,0,0,0,0
00311 ,0003065,L L ,0.43644999999999995,0,0,4364.5
00311 ,0047126,L L ,5.138945,0,0,51389.45
00311 ,0003066,L L ,0.43,0,0,4300
00311 ,0003067,L L ,0,0,0,0
00311 ,0003068,L L ,0,0,0,0
00311 ,0003069,L L ,0,0,0,0
00311 ,0003070,L L ,0,0,0,0
